index_column,target_processed,predicted
23654,['xxtsart amei xxend'],gostei muito do produto xxend
15795,['xxtsart bateria xxend'],não gostei xxend
860,['xxtsart simplesmente ótimo xxend'],muito bom xxend
5390,['xxtsart material médio xxend'],gostei do produto xxend
21575,['xxtsart falta de informação xxend'],não gostei xxend
11964,['xxtsart uma escova que esquenta xxend'],bom xxend
11284,['xxtsart muito bom xxend'],muito bom xxend
22118,['xxtsart excelente xxend'],excelente xxend
6265,['xxtsart marreta do thor xxend'],excelente xxend
16850,['xxtsart podem me esclarecer essa dúvida ? xxend'],não gostei do produto xxend
4426,['xxtsart bom xxend'],bom xxend
21962,['xxtsart não atende as expectativas xxend'],produto de qualidade xxend
14423,['xxtsart faltam funções facilitadoras xxend'],não gostei xxend
11363,['xxtsart extremamente fragil xxend'],produto não funciona xxend
16023,['xxtsart entrega e produto no prazo xxend'],gostei xxend
8322,['xxtsart não recebi xxend'],não recebi o produto xxend
1685,['xxtsart muito feliz xxend'],gostei muito do produto xxend
769,['xxtsart alto nível de confiança xxend'],produto muito bom xxend
23333,['xxtsart boa ferramenta xxend'],frete abusivo xxend
2433,"['xxtsart um bom produto, fácil de instalar, até o momento esta me satisfazendo. xxend']",bom xxend
5311,['xxtsart não recebi meu produto! xxend'],não recebi o produto xxend
5051,"['xxtsart gostei do produto, me parece de boa qualidade xxend']",gostei do produto xxend
6420,['xxtsart muito bom xxend'],gostei xxend
17568,['xxtsart muito bom o produto xxend'],gostei muito do produto xxend
20939,['xxtsart bom xxend'],não gostei do produto xxend
19769,['xxtsart ótimo produto xxend'],gostei muito do produto xxend
6396,['xxtsart gostei malha muito boa xxend'],não gostei xxend
8666,['xxtsart produto excelente xxend'],excelente xxend
25658,['xxtsart produto otimo xxend'],gostei muito do produto xxend
18942,['xxtsart comparação xxend'],propaganda enganosa xxend
24233,['xxtsart ótima compra xxend'],gostei muito do produto xxend
18431,['xxtsart bom custo x beneficio xxend'],bom produto xxend
2747,['xxtsart vale a pena ter um tanquinho desse xxend'],muito bom xxend
25551,['xxtsart bom xxend'],muito bom xxend
26382,['xxtsart excelente xxend'],produto muito bom xxend
189,['xxtsart lâmpada excelente xxend'],excelente xxend
19118,['xxtsart o produto é bom! xxend'],gostei muito do produto xxend
3005,['xxtsart fone de ouvido sony xxend'],produto de baixa qualidade xxend
21042,['xxtsart material de baixa qualidade xxend'],péssimo xxend
1899,['xxtsart ótima qualidade xxend'],gostei muito do produto xxend
24118,['xxtsart ótimo xxend'],excelente xxend
1267,['xxtsart ótimo xxend'],Ótimo produto xxend
17912,['xxtsart ruim falso xxend'],produto falsificado xxend
11394,['xxtsart muito top!! xxend'],gostei muito do produto xxend
3556,['xxtsart fácil manejo xxend'],produto muito bom xxend
3890,['xxtsart gostei muito das panelas xxend'],gostei muito do produto xxend
8838,['xxtsart não entregam xxend'],não recebi o produto xxend
14502,['xxtsart produto de boa qualidade. xxend'],produto de qualidade xxend
21777,"['xxtsart otimo produto, péssima entrega! xxend']",gostei muito do produto xxend
10627,['xxtsart entrega em atraso xxend'],não recebi o produto xxend
8792,['xxtsart produto bom xxend'],bom xxend
10555,['xxtsart gostei muito desse produto. xxend'],muito bom xxend
10253,['xxtsart muito bom xxend'],muito bom xxend
8433,['xxtsart banheira millenia burigotto xxend'],gostei muito do produto xxend
10233,['xxtsart produto excelente xxend'],muito bom xxend
11016,"['xxtsart qualidade do material boa, conteúdo nem tanto. xxend']",não gostei xxend
23897,"['xxtsart nao gostei, nao prestou xxend']",excelente xxend
2612,['xxtsart maravilhoso xxend'],muito bom xxend
23425,['xxtsart linda xxend'],muito bom xxend
25939,['xxtsart adorei! xxend'],produto de qualidade xxend
22619,['xxtsart quebra o galho xxend'],produto de baixa qualidade xxend
21870,['xxtsart ótima xxend'],muito bom xxend
23483,['xxtsart produto excelente recomendo xxend'],excelente xxend
26054,['xxtsart frete absurdo xxend'],propaganda enganosa xxend
15787,['xxtsart pessima qualidade xxend'],produto de baixa qualidade xxend
17159,['xxtsart muito bom !!!! xxend'],muito bom xxend
12206,['xxtsart otimo produto xxend'],Ótimo produto xxend
8226,['xxtsart ótimo produto xxend'],gostei muito do produto xxend
14541,['xxtsart smartphone samsung galaxy j7 xxend'],gostei muito do produto xxend
3152,['xxtsart prática e resistente xxend'],gostei muito do produto xxend
1585,['xxtsart produto é bom xxend'],bom xxend
3943,['xxtsart muito boa tv! xxend'],excelente produto xxend
23939,['xxtsart ótima xxend'],muito bom xxend
19457,['xxtsart um bom aparelho para tv da sala xxend'],muito bom xxend
1021,['xxtsart baixo nivel de qualidade xxend'],produto de baixa qualidade xxend
11653,"['xxtsart este recebi bem embalado e bem selecionado, outros prime nao xxend']",produto com defeito xxend
10805,['xxtsart capa xxend'],gostei xxend
13417,['xxtsart bom. mas já chegou com a lâmpada queimada. xxend'],bom xxend
20227,['xxtsart muito ruim xxend'],nÃo recebi o produto xxend
7989,['xxtsart gostei muito do produto xxend'],gostei muito do produto xxend
9692,['xxtsart muito bom o livro! xxend'],livro falso xxend
12990,['xxtsart acabamento muito lindo xxend'],impressão de altíssima qualidade xxend
